"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"175","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","HER","Herring",17.5,0,0,0
"176","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","HKE","European Hake",20,872.37,0,872.37
"177","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","HOM","Horse Mackerel (Scad)",15,4,0,4
"178","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
"179","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","LBI","Four Spot Megrim",19,0,0,0
"180","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","LSD","Lesser Spotted Dogfish",NA,2,0,0
"181","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","MAC","European Mackerel",24,0,0,0
"182","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","MEG","Megrim",20,78,10,68
"183","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","MON","Anglerfish (Monk)",20,8,0,8
"184","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","NEP","Norway Lobster",NA,0,0,0
"185","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","NPO","Norway Pout",NA,0,0,0
"186","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","PLE","European Plaice",12,0,0,0
"187","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","PTR","Painted/Small Eyed Ray",NA,0,0,0
"188","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","SDR","Spotted Ray",NA,0,0,0
"189","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","SDS","Starry Smoot Hound",NA,0,0,0
"190","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","SMH","Smooth Hound",NA,0,0,0
"191","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","SPR","Sprat",NA,0,0,0
"192","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","THR","Thornback Ray (Roker)",NA,0,0,0
"193","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","UNR","Undulate Ray",NA,0,0,0
"194","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","WAF","Black-bellied Anglerfish",20,0,0,0
"195","IGFS                    ",-12.305,52.743,"2009-01-01T00:00:00Z",2009,"169","EXP","WHB","Blue Whiting",19,1184.67,701.89,482.78
